id_tempo,data,ano_adicao,mes_adicao,nome_mes
1,2008-01-01,2008,1,January
2,2008-02-04,2008,2,February
3,2009-05-05,2009,5,May
4,2009-11-18,2009,11,November
5,2010-11-01,2010,11,November
6,2011-05-17,2011,5,May
7,2011-09-27,2011,9,September
8,2011-10-01,2011,10,October
9,2012-02-21,2012,2,February
10,2012-11-14,2012,11,November
11,2012-12-01,2012,12,December
12,2013-03-31,2013,3,March
13,2013-08-02,2013,8,August
14,2013-09-01,2013,9,September
15,2013-10-08,2013,10,October
16,2013-10-14,2013,10,October
17,2013-11-01,2013,11,November
18,2013-12-12,2013,12,December
19,2013-12-29,2013,12,December
20,2014-01-17,2014,1,January
21,2014-01-24,2014,1,January
22,2014-02-01,2014,2,February
23,2014-02-16,2014,2,February
24,2014-04-01,2014,4,April
25,2014-04-15,2014,4,April
26,2014-06-15,2014,6,June
27,2014-07-11,2014,7,July
28,2014-08-15,2014,8,August
29,2014-09-26,2014,9,September
30,2014-10-10,2014,10,October
31,2014-10-12,2014,10,October
32,2014-10-21,2014,10,October
33,2014-10-24,2014,10,October
34,2014-11-07,2014,11,November
35,2014-11-14,2014,11,November
36,2014-11-19,2014,11,November
37,2014-11-21,2014,11,November
38,2014-12-05,2014,12,December
39,2014-12-12,2014,12,December
40,2014-12-17,2014,12,December
41,2014-12-18,2014,12,December
42,2014-12-19,2014,12,December
43,2015-01-23,2015,1,January
44,2015-02-01,2015,2,February
45,2015-02-13,2015,2,February
46,2015-02-15,2015,2,February
47,2015-02-27,2015,2,February
48,2015-03-06,2015,3,March
49,2015-03-15,2015,3,March
50,2015-03-22,2015,3,March
51,2015-04-16,2015,4,April
52,2015-04-17,2015,4,April
53,2015-04-22,2015,4,April
54,2015-05-10,2015,5,May
55,2015-05-17,2015,5,May
56,2015-05-22,2015,5,May
57,2015-05-29,2015,5,May
58,2015-05-31,2015,5,May
59,2015-06-01,2015,6,June
60,2015-06-15,2015,6,June
61,2015-06-23,2015,6,June
62,2015-06-26,2015,6,June
63,2015-06-29,2015,6,June
64,2015-06-30,2015,6,June
65,2015-07-07,2015,7,July
66,2015-07-10,2015,7,July
67,2015-07-14,2015,7,July
68,2015-07-15,2015,7,July
69,2015-07-17,2015,7,July
70,2015-07-31,2015,7,July
71,2015-08-05,2015,8,August
72,2015-08-14,2015,8,August
73,2015-09-02,2015,9,September
74,2015-09-08,2015,9,September
75,2015-09-15,2015,9,September
76,2015-09-18,2015,9,September
77,2015-09-22,2015,9,September
78,2015-09-29,2015,9,September
79,2015-10-01,2015,10,October
80,2015-10-02,2015,10,October
81,2015-10-09,2015,10,October
82,2015-10-10,2015,10,October
83,2015-10-14,2015,10,October
84,2015-10-16,2015,10,October
85,2015-10-22,2015,10,October
86,2015-10-23,2015,10,October
87,2015-10-25,2015,10,October
88,2015-10-27,2015,10,October
89,2015-10-31,2015,10,October
90,2015-11-03,2015,11,November
91,2015-11-13,2015,11,November
92,2015-11-18,2015,11,November
93,2015-12-01,2015,12,December
94,2015-12-02,2015,12,December
95,2015-12-04,2015,12,December
96,2015-12-09,2015,12,December
97,2015-12-11,2015,12,December
98,2015-12-15,2015,12,December
99,2015-12-17,2015,12,December
100,2015-12-18,2015,12,December
101,2015-12-20,2015,12,December
102,2015-12-25,2015,12,December
103,2015-12-26,2015,12,December
104,2015-12-28,2015,12,December
105,2015-12-31,2015,12,December
106,2016-01-01,2016,1,January
107,2016-01-08,2016,1,January
108,2016-01-13,2016,1,January
109,2016-01-15,2016,1,January
110,2016-01-22,2016,1,January
111,2016-01-23,2016,1,January
112,2016-01-28,2016,1,January
113,2016-02-01,2016,2,February
114,2016-02-04,2016,2,February
115,2016-02-05,2016,2,February
116,2016-02-06,2016,2,February
117,2016-02-08,2016,2,February
118,2016-02-14,2016,2,February
119,2016-02-18,2016,2,February
120,2016-02-19,2016,2,February
121,2016-02-24,2016,2,February
122,2016-02-26,2016,2,February
123,2016-03-01,2016,3,March
124,2016-03-02,2016,3,March
125,2016-03-07,2016,3,March
126,2016-03-09,2016,3,March
127,2016-03-11,2016,3,March
128,2016-03-16,2016,3,March
129,2016-03-18,2016,3,March
130,2016-03-19,2016,3,March
131,2016-03-25,2016,3,March
132,2016-03-31,2016,3,March
133,2016-04-01,2016,4,April
134,2016-04-05,2016,4,April
135,2016-04-08,2016,4,April
136,2016-04-09,2016,4,April
137,2016-04-15,2016,4,April
138,2016-04-17,2016,4,April
